,title,year,activity,agent
0,13 Gantry Row,1998,Key cast:,Rebecca Gibney
1,13 Gantry Row,1998,Key cast:,John Adam
2,13 Gantry Row,1998,Key cast:,Doris Younane
3,13 Gantry Row,1998,Key cast:,Nicholas Hammond
4,13 Gantry Row,1998,Key cast:,Mark Gerber
5,13 Gantry Row,1998,Key cast:,Erik Thomson
6,13 Gantry Row,1998,Key cast:,Marshall Napier
7,13 Gantry Row,1998,Key cast:,Michael Caton
8,13 Gantry Row,1998,Key cast:,Tony Llewellyn Jones
9,13 Gantry Row,1998,Key cast:,Ron Graham
10,13 Gantry Row,1998,Key cast:,Sydney Conabere
11,13 Gantry Row,1998,Key cast:,Julie Herbert
12,13 Gantry Row,1998,Key cast:,Anthony Phelan
13,13 Gantry Row,1998,Key cast:,Nicholas Opolski
14,13 Gantry Row,1998,Key cast:,Les Foxcroft
15,13 Gantry Row,1998,Director/s:,Catherine Millar
16,13 Gantry Row,1998,Producer/s:,Robert Bruning
17,The 13th Floor,1988,Key cast:,Lisa Hensley
18,The 13th Floor,1988,Key cast:,Tim McKenzie
19,The 13th Floor,1988,Key cast:,Miranda Otto
20,The 13th Floor,1988,Key cast:,Tony Blackett
21,The 13th Floor,1988,Key cast:,Jeff Truman
22,The 13th Floor,1988,Key cast:,Vic Rooney
23,The 13th Floor,1988,Key cast:,Paul Hunt
24,The 13th Floor,1988,Key cast:,Michael Caton
25,The 13th Floor,1988,Key cast:,Allen Leong
26,The 13th Floor,1988,Key cast:,Georgie Parker
27,The 13th Floor,1988,Key cast:,Adam Cook
28,The 13th Floor,1988,Key cast:,Cathren Michalak
29,The 13th Floor,1988,Director/s:,Chris Roache
30,The 13th Floor,1988,Director/s:,Adrian Carr
31,The 13th Floor,1988,Producer/s:,David Hannay
32,The 13th Floor,1988,Producer/s:,Charles Hannah
33,14&#039;s Good 18&#039;s Better,1981,Key cast:,
34,14&#039;s Good 18&#039;s Better,1981,Director/s:,Gillian Armstrong
35,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Hilary Linstead
36,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Gillian Armstrong
37,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Tim Read
38,15 Amore,1998,Key cast:,Lisa Hensley
39,15 Amore,1998,Key cast:,Steve Bastoni
40,15 Amore,1998,Key cast:,Domenic Galati
41,15 Amore,1998,Key cast:,Tara Jakszewicz
42,15 Amore,1998,Key cast:,Gertraud Ingeborg
43,15 Amore,1998,Key cast:,Rhiana Griffith
44,15 Amore,1998,Key cast:,Joel Pieterse
45,15 Amore,1998,Key cast:,Nicholas Bryant
46,15 Amore,1998,Key cast:,Michael Harrop
47,15 Amore,1998,Key cast:,Garth Russell
48,15 Amore,1998,Key cast:,Peter Hayes
49,15 Amore,1998,Key cast:,Genevieve Clay
50,15 Amore,1998,Key cast:,Bill Hunter
51,15 Amore,1998,Director/s:,Maurice Murphy
52,15 Amore,1998,Producer/s:,Brooke Wilson
53,15 Amore,1998,Producer/s:,Maurice Murphy
54,2 Friends,1986,Key cast:,Kris Bidenko
55,2 Friends,1986,Key cast:,Emma Coles
56,2 Friends,1986,Key cast:,Kris McQuade
57,2 Friends,1986,Key cast:,Peter Hehir
58,2 Friends,1986,Key cast:,Kerry Dwyer
59,2 Friends,1986,Key cast:,Stephen Leeder
60,2 Friends,1986,Key cast:,Debra May
61,2 Friends,1986,Key cast:,John Sheerin
62,2 Friends,1986,Key cast:,Martin Armiger
63,2 Friends,1986,Key cast:,Tony Barry
64,2 Friends,1986,Key cast:,Steve Bisley
65,2 Friends,1986,Director/s:,Jane Campion
66,2 Friends,1986,Producer/s:,Jan Chapman
67,2000 Weeks,1968,Key cast:,Mark McManus
68,2000 Weeks,1968,Key cast:,Jeanie Drynan
69,2000 Weeks,1968,Key cast:,Eileen Chapman
70,2000 Weeks,1968,Key cast:,David Turnbull
71,2000 Weeks,1968,Key cast:,Michael Duffield
72,2000 Weeks,1968,Key cast:,Stephen Dattner
73,2000 Weeks,1968,Key cast:,Bruce Anderson
74,2000 Weeks,1968,Key cast:,Dominic Ryan
75,2000 Weeks,1968,Key cast:,Nicholas McCallum
76,2000 Weeks,1968,Key cast:,Anne Charleston
77,2000 Weeks,1968,Key cast:,Graeme Blundell
78,2000 Weeks,1968,Director/s:,Tim Burstall
79,2000 Weeks,1968,Producer/s:,Patrick Ryan
80,2000 Weeks,1968,Producer/s:,David Bilcock
81,27A,1973,Key cast:,Robert McDarra
82,27A,1973,Key cast:,Bill Hunter
83,27A,1973,Key cast:,Graham Corry
84,27A,1973,Key cast:,Richard Moir
85,27A,1973,Key cast:,James Kemp
86,27A,1973,Key cast:,Kris Olsen
87,27A,1973,Key cast:,Brian Doyle
88,27A,1973,Key cast:,Richard Creaser
89,27A,1973,Key cast:,Michael Norton
90,27A,1973,Key cast:,Haydn Keenan
91,27A,1973,Key cast:,Gary McFeeter
92,27A,1973,Key cast:,Tom Farley
93,27A,1973,Key cast:,Jim Doherty
94,27A,1973,Key cast:,Peter Gailey
95,27A,1973,Key cast:,Karl Florsheim
96,27A,1973,Key cast:,Race Gailey
97,27A,1973,Key cast:,Bob Maza
98,27A,1973,Key cast:,Zac Martin
99,27A,1973,Key cast:,Kevin Healey
100,27A,1973,Key cast:,Beth Brookes
101,27A,1973,Key cast:,Betty Dyson
102,27A,1973,Key cast:,Pauline Foxall
103,27A,1973,Key cast:,Robert Ewing
104,27A,1973,Key cast:,Max Osbiston
105,27A,1973,Key cast:,Guy LeClaire
106,27A,1973,Director/s:,Esben Storm
107,27A,1973,Producer/s:,Haydn Keenan
108,3 To Go,1970,Key cast:,Judy Morris
109,3 To Go,1970,Key cast:,Serge Lazareff
110,3 To Go,1970,Key cast:,Mary Ann Severne
111,3 To Go,1970,Key cast:,Gary Day
112,3 To Go,1970,Key cast:,Penny Ramsey
113,3 To Go,1970,Key cast:,Wendy Playfair
114,3 To Go,1970,Key cast:,Brian Anderson
115,3 To Go,1970,Key cast:,Cliff Neate
116,3 To Go,1970,Key cast:,Matthew Burton
117,3 To Go,1970,Key cast:,Grahame Bond
118,3 To Go,1970,Key cast:,Peter Colville
119,3 To Go,1970,Key cast:,Georgina West
120,3 To Go,1970,Key cast:,Betty Lucas
121,3 To Go,1970,Key cast:,Judy McBurney
122,3 To Go,1970,Key cast:,Rina Ioannou
123,3 To Go,1970,Key cast:,Erica Crowne
124,3 To Go,1970,Key cast:,Andrew Pappas
125,3 To Go,1970,Key cast:,Joe Hasham
126,3 To Go,1970,Key cast:,Gabriel Battikha
127,3 To Go,1970,Key cast:,Theo Coulouris
128,3 To Go,1970,Key cast:,Ketty Coulouris
129,3 To Go,1970,Key cast:,Yaya Lavdeas
130,3 To Go,1970,Director/s:,Brian Hannant
131,3 To Go,1970,Director/s:,Peter Weir
132,3 To Go,1970,Director/s:,Oliver Howes
133,3 To Go,1970,Producer/s:,Gil Brealey
134,88.9 Radio Redfern,1988,Key cast:,
135,88.9 Radio Redfern,1988,Director/s:,Sharon Bell
136,88.9 Radio Redfern,1988,Director/s:,Geoff Burton
137,88.9 Radio Redfern,1988,Producer/s:,Sharon Bell
138,The A.P.G.&#039;s Dimboola,1973,Key cast:,Bruce Spence
139,The A.P.G.&#039;s Dimboola,1973,Key cast:,Fay Mokotow
140,The A.P.G.&#039;s Dimboola,1973,Key cast:,Wilfred Last
141,The A.P.G.&#039;s Dimboola,1973,Key cast:,Rosslyn de Winter
142,The A.P.G.&#039;s Dimboola,1973,Key cast:,Tim Robertson
143,The A.P.G.&#039;s Dimboola,1973,Key cast:,Jan Friedl
144,The A.P.G.&#039;s Dimboola,1973,Key cast:,Charles Kemp
145,The A.P.G.&#039;s Dimboola,1973,Key cast:,Robert Meldrum
146,The A.P.G.&#039;s Dimboola,1973,Key cast:,Evelyn Krape
147,The A.P.G.&#039;s Dimboola,1973,Key cast:,Peter Cummins
148,The A.P.G.&#039;s Dimboola,1973,Key cast:,Jude Kuring
149,The A.P.G.&#039;s Dimboola,1973,Key cast:,Eileen Chapman
150,The A.P.G.&#039;s Dimboola,1973,Key cast:,Bill Garner
151,The A.P.G.&#039;s Dimboola,1973,Key cast:,Kerry Dwyer
152,The A.P.G.&#039;s Dimboola,1973,Key cast:,Jack Charles
153,The A.P.G.&#039;s Dimboola,1973,Key cast:,Max Gillies
154,The A.P.G.&#039;s Dimboola,1973,Director/s:,Ross Dimsey
155,The A.P.G.&#039;s Dimboola,1973,Director/s:,David Williamson
156,The A.P.G.&#039;s Dimboola,1973,Director/s:,Jack Hibberd
157,The A.P.G.&#039;s Dimboola,1973,Producer/s:,Ross Dimsey
158,&quot;...couldn&#039;t be fairer.&quot;,1984,Key cast:,Mick Miller
159,&quot;...couldn&#039;t be fairer.&quot;,1984,Director/s:,Dennis O'Rourke
160,&quot;...couldn&#039;t be fairer.&quot;,1984,Producer/s:,Dennis O'Rourke
161,&quot;Cannibal Tours&quot;,1987,Key cast:,
162,&quot;Cannibal Tours&quot;,1987,Director/s:,Dennis O'Rourke
163,&quot;Cannibal Tours&quot;,1987,Producer/s:,Dennis O'Rourke
164,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Paul Hogan
165,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Linda Kozlowski
166,&quot;Crocodile&quot; Dundee II,1988,Key cast:,John Meillon
167,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Hechter Ubarry
168,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Juan Fernandez
169,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Charles Dutton
170,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Kenneth Welsh
171,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Dennis Boutsikaris
172,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Ernie Dingo
173,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Gus Mercurio
174,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Steve Rackman
175,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Gerry Skilton
176,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Alec Wilson
177,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Maggie Blinco
178,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Bill Sandy
179,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Mark Saunders
180,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Stephen Root
181,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Carlos Carrasco
182,&quot;Crocodile&quot; Dundee II,1988,Key cast:,Luis Guzman
183,&quot;Crocodile&quot; Dundee II,1988,Director/s:,John Cornell
184,&quot;Crocodile&quot; Dundee II,1988,Producer/s:,John Cornell
185,&quot;Crocodile&quot; Dundee II,1988,Producer/s:,Jane Scott
186,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Rahman Rahmin
187,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Mike Dorsey
188,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Niki Huen
189,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Michael Pate
190,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Noel Ferrier
191,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Willie Fennell
192,"&quot;momman,&quot; little jungle boy",1969,Key cast:,Les Berryman
193,"&quot;momman,&quot; little jungle boy",1969,Director/s:,Mende Brown
194,"&quot;momman,&quot; little jungle boy",1969,Producer/s:,Mende Brown
195,&quot;Norman Loves Rose&quot;,1982,Key cast:,Carol Kane
196,&quot;Norman Loves Rose&quot;,1982,Key cast:,Tony Owen
197,&quot;Norman Loves Rose&quot;,1982,Key cast:,Myra de Groot
198,&quot;Norman Loves Rose&quot;,1982,Key cast:,David Downer
199,&quot;Norman Loves Rose&quot;,1982,Key cast:,Barry Otto
200,&quot;Norman Loves Rose&quot;,1982,Key cast:,Sandy Gore
201,&quot;Norman Loves Rose&quot;,1982,Key cast:,Warren Mitchell
202,&quot;Norman Loves Rose&quot;,1982,Key cast:,Virginia Hey
203,&quot;Norman Loves Rose&quot;,1982,Key cast:,Louise Pajo
204,&quot;Norman Loves Rose&quot;,1982,Key cast:,Johnny Lockwood
205,&quot;Norman Loves Rose&quot;,1982,Director/s:,Henri Safran
206,&quot;Norman Loves Rose&quot;,1982,Producer/s:,Henri Safran
207,&quot;Norman Loves Rose&quot;,1982,Producer/s:,Basil Appleby
208,&quot;The Exploits of the Emden&quot;,1928,Key cast:,Louis Ralph
209,&quot;The Exploits of the Emden&quot;,1928,Key cast:,Fritz Greiner
210,&quot;The Exploits of the Emden&quot;,1928,Key cast:,Jack Mylong-Münz
211,&quot;The Exploits of the Emden&quot;,1928,Key cast:,Charles Willy Kayser
212,&quot;The Exploits of the Emden&quot;,1928,Key cast:,Maria Minzenti
213,&quot;The Exploits of the Emden&quot;,1928,Key cast:,Kapitänleutnant von Mücke
214,&quot;The Exploits of the Emden&quot;,1928,Director/s:,Ken G. Hall
215,&quot;The Exploits of the Emden&quot;,1928,Producer/s:,Ken G. Hall
216,&#039;Breaker&#039; Morant,1979,Key cast:,Edward Woodward
217,&#039;Breaker&#039; Morant,1979,Key cast:,Jack Thompson
218,&#039;Breaker&#039; Morant,1979,Key cast:,John Waters
219,&#039;Breaker&#039; Morant,1979,Key cast:,Bryan Brown
220,&#039;Breaker&#039; Morant,1979,Key cast:,Charles Tingwell
221,&#039;Breaker&#039; Morant,1979,Key cast:,Terence Donovan
222,&#039;Breaker&#039; Morant,1979,Key cast:,Chris Haywood
223,&#039;Breaker&#039; Morant,1979,Key cast:,Vincent Ball
224,&#039;Breaker&#039; Morant,1979,Key cast:,Ray Meagher
225,&#039;Breaker&#039; Morant,1979,Key cast:,Alan Cassell
226,&#039;Breaker&#039; Morant,1979,Key cast:,Russell Kiefel
227,&#039;Breaker&#039; Morant,1979,Key cast:,Rob Steele
228,&#039;Breaker&#039; Morant,1979,Key cast:,Lewis Fitz-gerald
229,&#039;Breaker&#039; Morant,1979,Key cast:,Rod Mullinar
230,&#039;Breaker&#039; Morant,1979,Key cast:,John Pfitzner
231,&#039;Breaker&#039; Morant,1979,Key cast:,Frank Wilson
232,&#039;Breaker&#039; Morant,1979,Key cast:,Bridget Cornish
233,&#039;Breaker&#039; Morant,1979,Key cast:,Judy Dick
234,&#039;Breaker&#039; Morant,1979,Key cast:,Barbara West
235,&#039;Breaker&#039; Morant,1979,Director/s:,Bruce Beresford
236,&#039;Breaker&#039; Morant,1979,Producer/s:,Matt Carroll
237,&#039;Man of Straw&#039;,1988,Key cast:,Harry Efstratiadis
238,&#039;Man of Straw&#039;,1988,Director/s:,Alkinos Tsilimidos
239,&#039;Man of Straw&#039;,1988,Producer/s:,
240,&#039;They shot through like a Bondi&#039;,1975,Key cast:,Phil Haldeman
241,&#039;They shot through like a Bondi&#039;,1975,Key cast:,T. G. Richmond
242,&#039;They shot through like a Bondi&#039;,1975,Director/s:,Anthony Buckley
243,&#039;They shot through like a Bondi&#039;,1975,Director/s:,Stewart Young
244,&#039;They shot through like a Bondi&#039;,1975,Producer/s:,Anthony Buckley
245,&#039;They shot through like a Bondi&#039;,1975,Producer/s:,Stewart Young
246,(...maybe this Time),1980,Key cast:,Judy Morris
247,(...maybe this Time),1980,Key cast:,Bill Hunter
248,(...maybe this Time),1980,Key cast:,Mike Preston
249,(...maybe this Time),1980,Key cast:,Jill Perryman
250,(...maybe this Time),1980,Key cast:,Ken Shorter
251,(...maybe this Time),1980,Key cast:,Michele Fawdon
252,(...maybe this Time),1980,Key cast:,Leonard Teale
253,(...maybe this Time),1980,Key cast:,Chris Haywood
254,(...maybe this Time),1980,Key cast:,Jude Kuring
255,(...maybe this Time),1980,Key cast:,Rod Mullinar
256,(...maybe this Time),1980,Key cast:,Lorna Lesley
257,(...maybe this Time),1980,Key cast:,Lyndall Barbour
258,(...maybe this Time),1980,Key cast:,Lyn Collingwood
259,(...maybe this Time),1980,Key cast:,Gillian Hyde
260,(...maybe this Time),1980,Key cast:,Celia de Burgh
261,(...maybe this Time),1980,Key cast:,John Clayton
262,(...maybe this Time),1980,Key cast:,Tim Burns
263,(...maybe this Time),1980,Key cast:,Willie Fennell
264,(...maybe this Time),1980,Key cast:,Tessa Mallos
265,(...maybe this Time),1980,Key cast:,Madeleine Blackwell
266,(...maybe this Time),1980,Key cast:,Les Foxcroft
267,(...maybe this Time),1980,Key cast:,Ray Marshall
268,(...maybe this Time),1980,Key cast:,Hugo Weaving
269,(...maybe this Time),1980,Director/s:,Chris McGill
270,(...maybe this Time),1980,Producer/s:,Brian Kavanagh
271,13 Gantry Row,1998,Key cast:,Rebecca Gibney
272,13 Gantry Row,1998,Key cast:,John Adam
273,13 Gantry Row,1998,Key cast:,Doris Younane
274,13 Gantry Row,1998,Key cast:,Nicholas Hammond
275,13 Gantry Row,1998,Key cast:,Mark Gerber
276,13 Gantry Row,1998,Key cast:,Erik Thomson
277,13 Gantry Row,1998,Key cast:,Marshall Napier
278,13 Gantry Row,1998,Key cast:,Michael Caton
279,13 Gantry Row,1998,Key cast:,Tony Llewellyn Jones
280,13 Gantry Row,1998,Key cast:,Ron Graham
281,13 Gantry Row,1998,Key cast:,Sydney Conabere
282,13 Gantry Row,1998,Key cast:,Julie Herbert
283,13 Gantry Row,1998,Key cast:,Anthony Phelan
284,13 Gantry Row,1998,Key cast:,Nicholas Opolski
285,13 Gantry Row,1998,Key cast:,Les Foxcroft
286,13 Gantry Row,1998,Director/s:,Catherine Millar
287,13 Gantry Row,1998,Producer/s:,Robert Bruning
288,The 13th Floor,1988,Key cast:,Lisa Hensley
289,The 13th Floor,1988,Key cast:,Tim McKenzie
290,The 13th Floor,1988,Key cast:,Miranda Otto
291,The 13th Floor,1988,Key cast:,Tony Blackett
292,The 13th Floor,1988,Key cast:,Jeff Truman
293,The 13th Floor,1988,Key cast:,Vic Rooney
294,The 13th Floor,1988,Key cast:,Paul Hunt
295,The 13th Floor,1988,Key cast:,Michael Caton
296,The 13th Floor,1988,Key cast:,Allen Leong
297,The 13th Floor,1988,Key cast:,Georgie Parker
298,The 13th Floor,1988,Key cast:,Adam Cook
299,The 13th Floor,1988,Key cast:,Cathren Michalak
300,The 13th Floor,1988,Director/s:,Chris Roache
301,The 13th Floor,1988,Director/s:,Adrian Carr
302,The 13th Floor,1988,Producer/s:,David Hannay
303,The 13th Floor,1988,Producer/s:,Charles Hannah
304,14&#039;s Good 18&#039;s Better,1981,Key cast:,
305,14&#039;s Good 18&#039;s Better,1981,Director/s:,Gillian Armstrong
306,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Hilary Linstead
307,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Gillian Armstrong
308,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Tim Read
309,15 Amore,1998,Key cast:,Lisa Hensley
310,15 Amore,1998,Key cast:,Steve Bastoni
311,15 Amore,1998,Key cast:,Domenic Galati
312,15 Amore,1998,Key cast:,Tara Jakszewicz
313,15 Amore,1998,Key cast:,Gertraud Ingeborg
314,15 Amore,1998,Key cast:,Rhiana Griffith
315,15 Amore,1998,Key cast:,Joel Pieterse
316,15 Amore,1998,Key cast:,Nicholas Bryant
317,15 Amore,1998,Key cast:,Michael Harrop
318,15 Amore,1998,Key cast:,Garth Russell
319,15 Amore,1998,Key cast:,Peter Hayes
320,15 Amore,1998,Key cast:,Genevieve Clay
321,15 Amore,1998,Key cast:,Bill Hunter
322,15 Amore,1998,Director/s:,Maurice Murphy
323,15 Amore,1998,Producer/s:,Brooke Wilson
324,15 Amore,1998,Producer/s:,Maurice Murphy
325,2 Friends,1986,Key cast:,Kris Bidenko
326,2 Friends,1986,Key cast:,Emma Coles
327,2 Friends,1986,Key cast:,Kris McQuade
328,2 Friends,1986,Key cast:,Peter Hehir
329,2 Friends,1986,Key cast:,Kerry Dwyer
330,2 Friends,1986,Key cast:,Stephen Leeder
331,2 Friends,1986,Key cast:,Debra May
332,2 Friends,1986,Key cast:,John Sheerin
333,2 Friends,1986,Key cast:,Martin Armiger
334,2 Friends,1986,Key cast:,Tony Barry
335,2 Friends,1986,Key cast:,Steve Bisley
336,2 Friends,1986,Director/s:,Jane Campion
337,2 Friends,1986,Producer/s:,Jan Chapman
338,2000 Weeks,1968,Key cast:,Mark McManus
339,2000 Weeks,1968,Key cast:,Jeanie Drynan
340,2000 Weeks,1968,Key cast:,Eileen Chapman
341,2000 Weeks,1968,Key cast:,David Turnbull
342,2000 Weeks,1968,Key cast:,Michael Duffield
343,2000 Weeks,1968,Key cast:,Stephen Dattner
344,2000 Weeks,1968,Key cast:,Bruce Anderson
345,2000 Weeks,1968,Key cast:,Dominic Ryan
346,2000 Weeks,1968,Key cast:,Nicholas McCallum
347,2000 Weeks,1968,Key cast:,Anne Charleston
348,2000 Weeks,1968,Key cast:,Graeme Blundell
349,2000 Weeks,1968,Director/s:,Tim Burstall
350,2000 Weeks,1968,Producer/s:,Patrick Ryan
351,2000 Weeks,1968,Producer/s:,David Bilcock
352,27A,1973,Key cast:,Robert McDarra
353,27A,1973,Key cast:,Bill Hunter
354,27A,1973,Key cast:,Graham Corry
355,27A,1973,Key cast:,Richard Moir
356,27A,1973,Key cast:,James Kemp
357,27A,1973,Key cast:,Kris Olsen
358,27A,1973,Key cast:,Brian Doyle
359,27A,1973,Key cast:,Richard Creaser
360,27A,1973,Key cast:,Michael Norton
361,27A,1973,Key cast:,Haydn Keenan
362,27A,1973,Key cast:,Gary McFeeter
363,27A,1973,Key cast:,Tom Farley
364,27A,1973,Key cast:,Jim Doherty
365,27A,1973,Key cast:,Peter Gailey
366,27A,1973,Key cast:,Karl Florsheim
367,27A,1973,Key cast:,Race Gailey
368,27A,1973,Key cast:,Bob Maza
369,27A,1973,Key cast:,Zac Martin
370,27A,1973,Key cast:,Kevin Healey
371,27A,1973,Key cast:,Beth Brookes
372,27A,1973,Key cast:,Betty Dyson
373,27A,1973,Key cast:,Pauline Foxall
374,27A,1973,Key cast:,Robert Ewing
375,27A,1973,Key cast:,Max Osbiston
376,27A,1973,Key cast:,Guy LeClaire
377,27A,1973,Director/s:,Esben Storm
378,27A,1973,Producer/s:,Haydn Keenan
379,3 To Go,1970,Key cast:,Judy Morris
380,3 To Go,1970,Key cast:,Serge Lazareff
381,3 To Go,1970,Key cast:,Mary Ann Severne
382,3 To Go,1970,Key cast:,Gary Day
383,3 To Go,1970,Key cast:,Penny Ramsey
384,3 To Go,1970,Key cast:,Wendy Playfair
385,3 To Go,1970,Key cast:,Brian Anderson
386,3 To Go,1970,Key cast:,Cliff Neate
387,3 To Go,1970,Key cast:,Matthew Burton
388,3 To Go,1970,Key cast:,Grahame Bond
389,3 To Go,1970,Key cast:,Peter Colville
390,3 To Go,1970,Key cast:,Georgina West
391,3 To Go,1970,Key cast:,Betty Lucas
392,3 To Go,1970,Key cast:,Judy McBurney
393,3 To Go,1970,Key cast:,Rina Ioannou
394,3 To Go,1970,Key cast:,Erica Crowne
395,3 To Go,1970,Key cast:,Andrew Pappas
396,3 To Go,1970,Key cast:,Joe Hasham
397,3 To Go,1970,Key cast:,Gabriel Battikha
398,3 To Go,1970,Key cast:,Theo Coulouris
399,3 To Go,1970,Key cast:,Ketty Coulouris
400,3 To Go,1970,Key cast:,Yaya Lavdeas
401,3 To Go,1970,Director/s:,Brian Hannant
402,3 To Go,1970,Director/s:,Peter Weir
403,3 To Go,1970,Director/s:,Oliver Howes
404,3 To Go,1970,Producer/s:,Gil Brealey
405,88.9 Radio Redfern,1988,Key cast:,
406,88.9 Radio Redfern,1988,Director/s:,Sharon Bell
407,88.9 Radio Redfern,1988,Director/s:,Geoff Burton
408,88.9 Radio Redfern,1988,Producer/s:,Sharon Bell
409,The A.P.G.&#039;s Dimboola,1973,Key cast:,Bruce Spence
410,The A.P.G.&#039;s Dimboola,1973,Key cast:,Fay Mokotow
411,The A.P.G.&#039;s Dimboola,1973,Key cast:,Wilfred Last
412,The A.P.G.&#039;s Dimboola,1973,Key cast:,Rosslyn de Winter
413,The A.P.G.&#039;s Dimboola,1973,Key cast:,Tim Robertson
414,The A.P.G.&#039;s Dimboola,1973,Key cast:,Jan Friedl
415,The A.P.G.&#039;s Dimboola,1973,Key cast:,Charles Kemp
416,The A.P.G.&#039;s Dimboola,1973,Key cast:,Robert Meldrum
417,The A.P.G.&#039;s Dimboola,1973,Key cast:,Evelyn Krape
418,The A.P.G.&#039;s Dimboola,1973,Key cast:,Peter Cummins
419,The A.P.G.&#039;s Dimboola,1973,Key cast:,Jude Kuring
420,The A.P.G.&#039;s Dimboola,1973,Key cast:,Eileen Chapman
421,The A.P.G.&#039;s Dimboola,1973,Key cast:,Bill Garner
422,The A.P.G.&#039;s Dimboola,1973,Key cast:,Kerry Dwyer
423,The A.P.G.&#039;s Dimboola,1973,Key cast:,Jack Charles
424,The A.P.G.&#039;s Dimboola,1973,Key cast:,Max Gillies
425,The A.P.G.&#039;s Dimboola,1973,Director/s:,Ross Dimsey
426,The A.P.G.&#039;s Dimboola,1973,Director/s:,David Williamson
427,The A.P.G.&#039;s Dimboola,1973,Director/s:,Jack Hibberd
428,The A.P.G.&#039;s Dimboola,1973,Producer/s:,Ross Dimsey
429,ABBA ® The Movie,1977,Key cast:,Anni-Frid Lyngstad
430,ABBA ® The Movie,1977,Key cast:,Benny Andersson
431,ABBA ® The Movie,1977,Key cast:,Björn Ulvaeus
432,ABBA ® The Movie,1977,Key cast:,Agnetha Fältskog
433,ABBA ® The Movie,1977,Key cast:,Robert Hughes
434,ABBA ® The Movie,1977,Key cast:,Tom Oliver
435,ABBA ® The Movie,1977,Key cast:,Bruce Barry
436,ABBA ® The Movie,1977,Key cast:,Stig Anderson
437,ABBA ® The Movie,1977,Key cast:,Harry Lawrence
438,ABBA ® The Movie,1977,Key cast:,Ray Marshall
439,ABBA ® The Movie,1977,Director/s:,Lasse Hallström
440,ABBA ® The Movie,1977,Producer/s:,Waldemar Bergendahl
441,ABBA ® The Movie,1977,Producer/s:,Ray Newell
442,the ABC of Love and Sex Australia Style,1977,Key cast:,Sandy Gore
443,the ABC of Love and Sex Australia Style,1977,Key cast:,Michael Cole
444,the ABC of Love and Sex Australia Style,1977,Key cast:,Briht Bergström-Walan
445,the ABC of Love and Sex Australia Style,1977,Key cast:,Peter Thompson
446,the ABC of Love and Sex Australia Style,1977,Director/s:,John Lamond
447,the ABC of Love and Sex Australia Style,1977,Producer/s:,John Lamond
448,Abra Cadabra,1983,Key cast:,John Farnham
449,Abra Cadabra,1983,Key cast:,Jacki Weaver
450,Abra Cadabra,1983,Key cast:,Hayes Gordon
451,Abra Cadabra,1983,Key cast:,Gary Files
452,Abra Cadabra,1983,Key cast:,James Smillie
453,Abra Cadabra,1983,Key cast:,Hamish Hughes
454,Abra Cadabra,1983,Director/s:,Alexander Stitt
455,Abra Cadabra,1983,Producer/s:,Phillip Adams
456,Abra Cadabra,1983,Producer/s:,Alexander Stitt
457,Adam&#039;s Woman,1969,Key cast:,Beau Bridges
458,Adam&#039;s Woman,1969,Key cast:,Jane Merrow
459,Adam&#039;s Woman,1969,Key cast:,James Booth
460,Adam&#039;s Woman,1969,Key cast:,Andrew Keir
461,Adam&#039;s Woman,1969,Key cast:,Tracy Reed
462,Adam&#039;s Woman,1969,Key cast:,Peter O'Shaughnessy
463,Adam&#039;s Woman,1969,Key cast:,John Warwick
464,Adam&#039;s Woman,1969,Key cast:,Harry Lawrence
465,Adam&#039;s Woman,1969,Key cast:,Harold Hopkins
466,Adam&#039;s Woman,1969,Key cast:,Mark McManus
467,Adam&#039;s Woman,1969,Key cast:,Katy Wild
468,Adam&#039;s Woman,1969,Key cast:,Clarissa Kaye
