title,year,activity,agent,label,work_uuid,agent_uuid
14&#039;s Good 18&#039;s Better,1981,hasProducer,Hilary Linstead,14&#039;s Good 18&#039;s Better (1981),f2f5da9f-01e9-408e-a453-ef0d7dc2e69f,7e3786e3-ebd8-4163-95ef-c811d962a7a6
14&#039;s Good 18&#039;s Better,1981,hasProducer,Gillian Armstrong,14&#039;s Good 18&#039;s Better (1981),f2f5da9f-01e9-408e-a453-ef0d7dc2e69f,e190c79e-fe19-400c-a84b-9db1f7b28dbd
14&#039;s Good 18&#039;s Better,1981,hasProducer,Tim Read,14&#039;s Good 18&#039;s Better (1981),f2f5da9f-01e9-408e-a453-ef0d7dc2e69f,4021575e-6f62-482e-8d26-37795af41c3d
15 Amore,1998,hasActor,Lisa Hensley,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,6b5c5b7e-aa96-4228-9a5f-10e8d26c1fd9
15 Amore,1998,hasActor,Steve Bastoni,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,f37db1ba-eb9e-483d-b10e-b58c57522da9
15 Amore,1998,hasActor,Domenic Galati,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,884a6061-95db-4a32-87fd-b500221665dc
15 Amore,1998,hasActor,Tara Jakszewicz,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,06ebadd9-23ed-49b5-b6d1-7795027a2745
15 Amore,1998,hasActor,Gertraud Ingeborg,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,37a517b2-8fc7-484f-ab27-d6458515afb6
15 Amore,1998,hasActor,Rhiana Griffith,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,dc07e666-5f0c-4391-80a2-ad0d97eff4e6
15 Amore,1998,hasActor,Joel Pieterse,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,e4feb21d-729e-430f-b35d-a2560dd4074b
15 Amore,1998,hasActor,Nicholas Bryant,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,736ffc9f-bba2-49b0-ae24-a57abaf8fa7e
15 Amore,1998,hasActor,Michael Harrop,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,cbeff87e-78ef-4748-9223-39d620b8d385
15 Amore,1998,hasActor,Garth Russell,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,f38c7ba1-7dd8-4952-8a79-744283e33966
15 Amore,1998,hasActor,Peter Hayes,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,e0aa7abb-4a5f-4d98-b840-19fd633cba61
15 Amore,1998,hasActor,Genevieve Clay,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,bd82a408-8665-4e1c-887c-9cbf4cd63e07
15 Amore,1998,hasActor,Bill Hunter,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,d965b11e-f80a-4d73-a624-b54706b1bbe7
15 Amore,1998,hasDirector,Maurice Murphy,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,3cddbc25-03d6-43d0-ad5a-7d4c418ebd70
15 Amore,1998,hasProducer,Brooke Wilson,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,e126d6bd-382b-4d29-9614-d3c8cc54594c
15 Amore,1998,hasProducer,Maurice Murphy,15 Amore (1998),c1c08da3-a4f2-42fb-abcb-b7d1b0a7f01b,3cddbc25-03d6-43d0-ad5a-7d4c418ebd70
2 Friends,1986,hasActor,Kris Bidenko,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,59f0bd2d-3221-45c7-9b69-9053af0fbec2
2 Friends,1986,hasActor,Emma Coles,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,77d899dc-5ef7-4b87-851c-1b9f22875f2a
2 Friends,1986,hasActor,Kris McQuade,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,c2fa4fc6-b87b-43a7-833f-3ea92bce5280
2 Friends,1986,hasActor,Peter Hehir,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,aa39b979-909e-466f-bd2e-68f0c901c5b2
2 Friends,1986,hasActor,Kerry Dwyer,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,ffbadea3-f941-407d-ab86-c808c5e4eb99
2 Friends,1986,hasActor,Stephen Leeder,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,b63b523d-415c-410f-8cdd-557be248d0d1
2 Friends,1986,hasActor,Debra May,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,532f8d69-a5b7-4ae1-8883-fd071026872b
2 Friends,1986,hasActor,John Sheerin,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,798dc12e-d81b-45e5-a754-e3191ae3bbf4
2 Friends,1986,hasActor,Martin Armiger,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,0ef55182-015c-4c9d-ba8e-53cfa5f620b0
2 Friends,1986,hasActor,Tony Barry,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,4506171a-bae0-4c19-ac66-8e56648615ca
2 Friends,1986,hasActor,Steve Bisley,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,ff51aa69-7fa0-45f2-8f61-8c2d5ee7fd2c
2 Friends,1986,hasDirector,Jane Campion,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,aa352e2d-6df6-44be-bb5e-4efb75c1734f
2 Friends,1986,hasProducer,Jan Chapman,2 Friends (1986),e2954ca7-e483-4c75-a768-96123c630a10,0d303a9d-4148-4f4e-99b2-a624778bf2cf
2000 Weeks,1968,hasActor,Mark McManus,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,ea6c780f-0028-4019-9dfd-2f6bdbd1b4d7
2000 Weeks,1968,hasActor,Jeanie Drynan,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,718604ac-879d-497f-9525-1af586f3dfdb
2000 Weeks,1968,hasActor,Eileen Chapman,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,e2f4fbe0-b437-4216-9bc5-cf7269d7b444
2000 Weeks,1968,hasActor,David Turnbull,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,0fdca676-7d00-4b37-bc67-5dcdf70d4deb
2000 Weeks,1968,hasActor,Michael Duffield,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,7786ecc5-30af-45d7-b106-73e40aa4e49f
2000 Weeks,1968,hasActor,Stephen Dattner,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,6ebb23fd-e16e-4962-b918-8f05c38677bb
2000 Weeks,1968,hasActor,Bruce Anderson,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,f6e06dd0-2613-468f-a62c-f2d8044b07cc
2000 Weeks,1968,hasActor,Dominic Ryan,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,6ad00e03-5b5f-4aa6-86d0-b9322efd3396
2000 Weeks,1968,hasActor,Nicholas McCallum,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,ba292f27-23d5-44f7-a262-b394c4356808
2000 Weeks,1968,hasActor,Anne Charleston,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,8e3f2cf0-767d-4a9c-8e71-64c5df679c49
2000 Weeks,1968,hasActor,Graeme Blundell,2000 Weeks (1968),a6d87305-a0f7-46b8-9e94-8962037ec366,4083fee9-9d88-42b3-9237-18080db3a3a2
